"volunteers" "variable" "value"
"1" "1" "TimeBodyAcc.mean.X" 0.276336875325203
"2" "2" "TimeBodyAcc.mean.X" 0.26229464948342
"3" "3" "TimeBodyAcc.mean.X" 0.288137227760313
"4" "4" "TimeBodyAcc.mean.X" 0.273059614418965
"5" "5" "TimeBodyAcc.mean.X" 0.279153494050367
"6" "6" "TimeBodyAcc.mean.X" 0.268648643296245
"7" "1" "TimeBodyAcc.mean.Y" -0.0179068331339779
"8" "2" "TimeBodyAcc.mean.Y" -0.0259232890342181
"9" "3" "TimeBodyAcc.mean.Y" -0.0163119254923574
"10" "4" "TimeBodyAcc.mean.Y" -0.0126895730832639
"11" "5" "TimeBodyAcc.mean.Y" -0.016151886473745
"12" "6" "TimeBodyAcc.mean.Y" -0.0183177280685082
"13" "1" "TimeBodyAcc.mean.Z" -0.108881687638618
"14" "2" "TimeBodyAcc.mean.Z" -0.120537934670272
"15" "3" "TimeBodyAcc.mean.Z" -0.105761624860013
"16" "4" "TimeBodyAcc.mean.Z" -0.105517003220878
"17" "5" "TimeBodyAcc.mean.Z" -0.106586908690788
"18" "6" "TimeBodyAcc.mean.Z" -0.107435631519084
"19" "1" "TimeGravityAcc.mean.X" 0.93499157825784
"20" "2" "TimeGravityAcc.mean.X" 0.875003375958549
"21" "3" "TimeGravityAcc.mean.X" 0.926457404928876
"22" "4" "TimeGravityAcc.mean.X" 0.879731193472144
"23" "5" "TimeGravityAcc.mean.X" 0.941479635262329
"24" "6" "TimeGravityAcc.mean.X" -0.375021333827161
"25" "1" "TimeGravityAcc.mean.Y" -0.196713497359117
"26" "2" "TimeGravityAcc.mean.Y" -0.281377193548575
"27" "3" "TimeGravityAcc.mean.Y" -0.168507222023357
"28" "4" "TimeGravityAcc.mean.Y" 0.108713540331707
"29" "5" "TimeGravityAcc.mean.Y" -0.18424651390288
"30" "6" "TimeGravityAcc.mean.Y" 0.622270362899691
"31" "1" "TimeGravityAcc.mean.Z" -0.0538251249015482
"32" "2" "TimeGravityAcc.mean.Z" -0.14079566587547
"33" "3" "TimeGravityAcc.mean.Z" -0.0479709004743904
"34" "4" "TimeGravityAcc.mean.Z" 0.153774088505577
"35" "5" "TimeGravityAcc.mean.Z" -0.0140519613122015
"36" "6" "TimeGravityAcc.mean.Z" 0.55561247407572
"37" "1" "TimeBodyAccJerk.mean.X" 0.0767187377408595
"38" "2" "TimeBodyAccJerk.mean.X" 0.0767293215286917
"39" "3" "TimeBodyAccJerk.mean.X" 0.0892266917679481
"40" "4" "TimeBodyAccJerk.mean.X" 0.0758788492274395
"41" "5" "TimeBodyAccJerk.mean.X" 0.0750279173525708
"42" "6" "TimeBodyAccJerk.mean.X" 0.0818473898341049
"43" "1" "TimeBodyAccJerk.mean.Y" 0.0115061924659823
"44" "2" "TimeBodyAccJerk.mean.Y" 0.00875888964679404
"45" "3" "TimeBodyAccJerk.mean.Y" 0.000746749097403983
"46" "4" "TimeBodyAccJerk.mean.Y" 0.00504690529678683
"47" "5" "TimeBodyAccJerk.mean.Y" 0.00880525863452886
"48" "6" "TimeBodyAccJerk.mean.Y" 0.0111723565401199
"49" "1" "TimeBodyAccJerk.mean.Z" -0.00231938614930952
"50" "2" "TimeBodyAccJerk.mean.Z" -0.00600953398545337
"51" "3" "TimeBodyAccJerk.mean.Z" -0.00872860399406828
"52" "4" "TimeBodyAccJerk.mean.Z" -0.0024866605775919
"53" "5" "TimeBodyAccJerk.mean.Z" -0.00458206132902833
"54" "6" "TimeBodyAccJerk.mean.Z" -0.00485976942268338
"55" "1" "TimeBodyGyro.mean.X" -0.0347275766522822
"56" "2" "TimeBodyGyro.mean.X" 0.00682449600215674
"57" "3" "TimeBodyGyro.mean.X" -0.0840345434632895
"58" "4" "TimeBodyGyro.mean.X" -0.0384313168439482
"59" "5" "TimeBodyGyro.mean.X" -0.0266871408413746
"60" "6" "TimeBodyGyro.mean.X" -0.0167253403420918
"61" "1" "TimeBodyGyro.mean.Y" -0.0694200436104837
"62" "2" "TimeBodyGyro.mean.Y" -0.0885225289752966
"63" "3" "TimeBodyGyro.mean.Y" -0.0529928638977233
"64" "4" "TimeBodyGyro.mean.Y" -0.0721208098964153
"65" "5" "TimeBodyGyro.mean.Y" -0.0677118654705719
"66" "6" "TimeBodyGyro.mean.Y" -0.0934107103603086
"67" "1" "TimeBodyGyro.mean.Z" 0.0863626487285566
"68" "2" "TimeBodyGyro.mean.Z" 0.0598938080367487
"69" "3" "TimeBodyGyro.mean.Z" 0.0946781961059175
